"","location","year_over_year","value_2020"
"1","Guyana",1332.14,28
"2","Côte d’Ivoire",284.48,464
"3","Kenya",233.33,9
"4","United Kingdom",143.59,39
"5","Spain",132.1,81
"6","Colombia",119.45,905
"7","Chile",117.44,21175
"8","Nicaragua",117.26,475
"9","Ghana",112.35,1020
"10","Bolivia",111,200
"11","Dominican Republic",109.71,5611
"12","Honduras",109.09,22
"13","South Africa",108.75,1188
"14","Mexico",106.79,9214
"15","Tanzania",106.09,2232
"16","Canada",105.65,85074
"17","Russia",104.55,791
"18","Guatemala",104.19,382
"19","United States",103.49,40032
